Numbers,Names,Rounds,Kills,Deaths,Assists,ACS,KD,FBSR%,APR,ADR,KPR,DPR,First Kills,First Deaths,HS%,FKPR,FDPR,Most Kills,Impact,Spike Defused,Spike Planted,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5
1,ardiis,793,580,548,185,212.06,1.06,0.60,0.23,212.06,0.73,0.69,147,100,19.06,0.19,0.13,27,1.31,16,17,97,36,6,2,5,3,0,0,0
2,aspas,643,585,398,113,246.71,1.47,0.61,0.18,246.71,0.91,0.62,106,69,25.16,0.16,0.11,33,1.76,8,9,129,30,8,2,5,6,2,0,0
3,Asuna,511,357,365,205,206.70,0.98,0.50,0.40,206.70,0.70,0.71,54,55,19.87,0.11,0.11,27,1.37,16,65,72,18,2,1,0,5,0,0,0
4,Axeddy,153,86,116,43,170.57,0.74,0.28,0.28,170.57,0.56,0.76,9,23,25.29,0.06,0.15,23,0.89,2,6,10,6,0,0,1,1,0,0,0
5,bang,511,343,354,191,190.00,0.97,0.48,0.37,190.00,0.67,0.69,41,45,30.00,0.08,0.09,25,1.33,6,43,59,14,5,0,8,1,2,0,0
6,BcJ,68,44,48,35,186.67,0.92,0.56,0.51,186.67,0.65,0.71,5,4,21.33,0.07,0.06,18,1.40,4,4,9,2,0,0,0,2,0,0,0
7,Boostio,710,511,501,151,205.21,1.02,0.45,0.21,205.21,0.72,0.71,74,90,25.26,0.10,0.13,23,1.24,9,15,88,28,9,0,5,5,0,0,0
8,C0M,710,449,454,236,184.21,0.99,0.48,0.33,184.21,0.63,0.64,52,57,22.68,0.07,0.08,22,1.32,23,50,85,24,1,0,9,3,3,0,0
9,cauanzin,643,449,427,241,199.61,1.05,0.52,0.37,199.61,0.70,0.66,60,55,23.45,0.09,0.09,23,1.44,12,74,83,22,4,2,4,4,1,0,1
10,crashies,793,559,505,334,199.22,1.11,0.49,0.42,199.22,0.70,0.64,49,50,27.92,0.06,0.06,24,1.56,30,65,93,32,6,0,12,9,1,0,0
11,Cryocells,511,394,365,127,219.09,1.08,0.53,0.25,219.09,0.77,0.71,93,83,21.91,0.18,0.16,33,1.36,12,13,63,25,7,1,2,2,0,1,0
12,Daveeys,399,267,281,157,190.83,0.95,0.46,0.39,190.83,0.67,0.70,31,37,23.56,0.08,0.09,31,1.32,11,46,40,19,3,0,3,4,1,0,0
