Number,Names,Rounds,Kills,Deaths,Assists,ACS,KD,FBSR%,APR,ADR,KPR,DPR,First Kills,First Deaths,HS%,FKPR,FDPR,Most Kills,Impact,Spike Defused,Spike Planted,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5
1,Asuna,66,41,46,18,195.33,0.89,0.50,0.27,195.33,0.62,0.70,6,6,19.33,0.09,0.09,17,1.12,2,3,7,3,0,0,0,0,0,0,0
2,bang,66,36,48,25,161.00,0.75,0.00,0.38,161.00,0.55,0.73,0,8,30.33,0.00,0.12,18,1.02,2,3,4,2,0,0,1,0,0,0,0
3,Cryocells,66,65,52,6,276.00,1.25,0.67,0.09,276.00,0.98,0.79,18,9,30.33,0.27,0.14,32,1.48,1,0,9,8,0,1,0,1,0,0,0
4,Daveeys,280,193,164,58,185.93,1.18,0.50,0.21,185.93,0.69,0.59,28,28,31.93,0.10,0.10,19,1.41,4,12,32,13,1,0,6,1,1,0,0
5,Derrek,66,27,51,21,121.33,0.53,0.29,0.32,121.33,0.41,0.77,2,5,30.67,0.03,0.08,14,0.59,1,6,4,0,0,0,1,1,0,0,0
6,dgzin,67,52,52,8,220.67,1.00,0.52,0.12,220.67,0.78,0.78,16,15,29.33,0.24,0.22,24,1.12,0,1,12,3,0,0,0,0,1,0,0
7,frz,41,33,31,10,233.00,1.06,0.67,0.24,233.00,0.80,0.76,8,4,29.00,0.20,0.10,18,1.34,0,3,6,3,0,0,0,0,0,0,0
8,jakee,222,149,169,68,188.36,0.88,0.39,0.31,188.36,0.67,0.76,17,27,33.36,0.08,0.12,23,1.13,3,12,25,8,2,0,3,4,0,0,0
9,jzz,41,31,30,4,225.00,1.03,0.50,0.10,225.00,0.76,0.73,7,7,32.50,0.17,0.17,16,1.15,1,0,7,1,0,1,0,0,0,0,0
10,keznit,280,261,196,90,274.71,1.33,0.58,0.32,274.71,0.93,0.70,47,34,18.79,0.17,0.12,29,1.79,5,21,48,22,1,0,3,0,2,0,0
11,Khalil,67,39,44,20,158.67,0.89,0.80,0.30,158.67,0.58,0.66,4,1,29.00,0.06,0.01,17,1.15,1,10,8,0,0,0,0,0,0,0,0
12,kiNgg,266,213,167,104,233.23,1.28,0.53,0.39,233.23,0.80,0.63,31,27,29.23,0.12,0.10,22,1.74,4,12,38,14,1,0,3,1,0,0,0
13,Klaus,280,206,189,133,205.00,1.09,0.61,0.48,205.00,0.74,0.68,35,22,23.29,0.13,0.08,22,1.60,7,28,26,16,4,1,2,1,1,0,0
14,kon4n,67,40,49,30,180.67,0.82,0.25,0.45,180.67,0.60,0.73,1,3,19.00,0.01,0.04,19,1.18,4,6,6,2,1,0,2,0,0,0,0
15,leaf,222,173,178,45,228.82,0.97,0.45,0.20,228.82,0.78,0.80,40,48,28.00,0.18,0.22,21,1.16,3,3,38,9,1,1,1,0,2,0,0
16,Marved,164,98,124,64,171.50,0.79,0.46,0.39,171.50,0.60,0.76,16,19,27.00,0.10,0.12,20,1.07,5,9,18,3,1,0,0,0,1,0,0
17,mazin,67,40,47,22,174.67,0.85,0.38,0.33,174.67,0.60,0.70,6,10,33.67,0.09,0.15,17,1.12,4,4,2,4,1,0,0,1,0,0,0
18,Mazino,266,195,192,93,206.38,1.02,0.48,0.35,206.38,0.73,0.72,21,23,22.85,0.08,0.09,26,1.37,5,26,31,10,3,0,1,2,0,0,0
19,Melser,280,211,175,83,204.50,1.21,0.54,0.30,204.50,0.75,0.63,28,24,32.29,0.10,0.09,19,1.55,10,58,38,12,2,0,3,2,0,0,0
20,murizzz,41,27,31,10,196.00,0.87,0.50,0.24,196.00,0.66,0.76,2,2,30.50,0.05,0.05,14,1.05,1,0,4,2,0,0,0,1,0,0,0
21,mwzera,67,52,49,10,242.00,1.06,0.45,0.15,242.00,0.78,0.73,5,6,16.00,0.07,0.09,20,1.24,1,1,12,1,1,0,0,1,0,0,0
22,NagZ,280,153,166,74,153.79,0.92,0.53,0.26,153.79,0.55,0.59,18,16,25.21,0.06,0.06,19,1.17,10,7,23,5,0,0,3,2,0,0,0
23,Nozwerr,266,172,163,84,184.69,1.06,0.55,0.32,184.69,0.65,0.61,18,15,19.77,0.07,0.06,24,1.38,10,24,26,4,2,0,0,1,0,1,0
24,pANcada,164,99,96,27,167.00,1.03,0.50,0.16,167.00,0.60,0.59,7,7,28.00,0.04,0.04,17,1.20,2,2,17,4,1,0,3,0,0,0,0
25,RgLM,41,22,28,14,152.00,0.79,0.50,0.34,152.00,0.54,0.68,2,2,22.50,0.05,0.05,13,1.05,1,10,3,0,0,0,0,0,0,0,0
