Number,Names,Rounds,Kills,Deaths,Assists,ACS,KD,FBSR%,APR,ADR,KPR,DPR,First Kills,First Deaths,HS%,FKPR,FDPR,Most Kills,Impact,Spike Defused,Spike Planted,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5
1,Alfajer,465,398,271,84,230.91,1.47,0.61,0.18,230.91,0.86,0.58,57,36,26.61,0.12,0.08,29.00,1.73,11,14,87,23,4,1,7,3,2,0,0
2,ANGE1,594,383,449,170,183.27,0.85,0.51,0.29,183.27,0.64,0.76,81,79,31.15,0.14,0.13,25.00,1.06,6,34,71,15,2,1,3,2,0,0,0
3,AsLanM4shadoW,468,351,345,93,199.36,1.02,0.45,0.20,199.36,0.75,0.74,37,46,26.09,0.08,0.10,28.00,1.22,11,36,55,23,4,1,2,1,3,1,0
4,AtaKaptan,611,416,421,237,184.17,0.99,0.42,0.39,184.17,0.68,0.69,38,52,27.40,0.06,0.09,26.00,1.37,12,84,62,25,6,0,11,2,0,0,0
5,AvovA,446,280,320,156,175.48,0.88,0.35,0.35,175.48,0.63,0.72,24,45,26.10,0.05,0.10,25.00,1.17,11,21,55,15,2,0,5,4,0,0,0
6,Boaster,570,320,337,243,157.14,0.95,0.39,0.43,157.14,0.56,0.59,34,54,20.21,0.06,0.09,17.00,1.37,21,39,54,10,3,0,12,2,1,0,0
7,BONECOLD,563,333,412,207,171.31,0.81,0.43,0.37,171.31,0.59,0.73,46,60,30.35,0.08,0.11,21.00,1.09,16,51,57,15,6,0,5,5,0,0,0
8,Boo,446,274,322,110,176.24,0.85,0.52,0.25,176.24,0.61,0.72,30,28,28.81,0.07,0.06,25.00,1.03,12,48,49,10,0,0,1,4,1,0,0
9,Brave,468,313,333,161,186.73,0.94,0.50,0.34,186.73,0.67,0.71,39,39,32.55,0.08,0.08,24.00,1.26,10,28,56,14,3,1,9,2,0,0,0
10,ceNder,563,398,396,122,203.27,1.01,0.52,0.22,203.27,0.71,0.70,51,47,28.31,0.09,0.08,21.00,1.22,11,13,77,17,4,0,6,5,0,0,0
11,Chronicle,570,446,350,261,224.43,1.27,0.58,0.46,224.43,0.78,0.61,53,39,23.96,0.09,0.07,25.00,1.79,15,86,75,29,5,2,6,2,1,0,0
12,Cloud,563,433,395,158,219.52,1.10,0.47,0.28,219.52,0.77,0.70,52,59,29.80,0.09,0.10,30.00,1.42,17,50,69,29,5,1,6,1,1,0,0
13,cNed,594,483,421,132,223.73,1.15,0.51,0.22,223.73,0.81,0.71,93,89,25.92,0.16,0.15,32.00,1.43,7,10,83,28,11,0,2,3,2,0,0
14,Derke,570,529,406,106,268.64,1.30,0.61,0.19,268.64,0.93,0.71,148,95,25.32,0.26,0.17,30.00,1.62,8,12,108,39,4,2,1,0,0,0,0
15,Destrian,563,340,393,230,176.65,0.87,0.36,0.41,176.65,0.60,0.70,32,56,24.23,0.06,0.10,24.00,1.22,8,60,56,22,2,0,3,1,1,0,0
16,Fit1nho,563,429,380,113,207.76,1.13,0.57,0.20,207.76,0.76,0.67,98,74,30.28,0.17,0.13,31.00,1.37,6,14,85,18,3,1,4,0,0,0,0
17,Harmii,48,32,35,7,175.00,0.91,0.31,0.15,175.00,0.67,0.73,5,11,17.50,0.10,0.23,16.00,1.02,1,0,5,0,0,0,0,0,0,0,0
18,hoody,563,410,389,174,207.28,1.05,0.49,0.31,207.28,0.73,0.69,49,52,26.88,0.09,0.09,25.00,1.38,17,24,70,19,10,1,3,4,0,0,0
19,Jamppi,810,592,533,257,201.95,1.11,0.52,0.32,201.95,0.73,0.66,62,58,26.30,0.08,0.07,26.00,1.46,25,96,110,34,6,2,9,10,2,0,0
20,kamyk,105,79,64,18,199.80,1.23,0.65,0.17,199.80,0.75,0.61,13,7,29.00,0.12,0.07,22.00,1.46,2,2,17,4,0,0,1,0,0,0,0
21,keloqz,446,306,355,56,192.48,0.86,0.42,0.13,192.48,0.69,0.80,67,93,25.67,0.15,0.21,23.00,0.91,9,10,59,12,4,0,5,1,1,0,0
22,Koldamenta,472,203,349,159,127.09,0.58,0.27,0.34,127.09,0.43,0.74,17,46,26.50,0.04,0.10,14.00,0.72,14,53,32,5,2,0,1,3,2,0,0
23,Leo,570,406,307,239,199.04,1.32,0.51,0.42,199.04,0.71,0.54,18,17,21.79,0.03,0.03,24.00,1.77,10,68,70,20,2,0,9,2,0,0,0
24,mixwell,446,286,349,147,190.95,0.82,0.47,0.33,190.95,0.64,0.78,41,47,20.76,0.09,0.11,30.00,1.05,7,52,38,17,5,0,3,2,1,0,0
25,mojj,649,426,453,126,179.44,0.94,0.52,0.19,179.44,0.66,0.70,49,45,28.94,0.08,0.07,24.00,1.11,13,14,79,14,7,1,6,4,1,0,0
26,MOLSI,563,358,398,196,181.73,0.90,0.51,0.35,181.73,0.64,0.71,45,44,25.65,0.08,0.08,23.00,1.21,15,45,62,20,3,0,6,0,0,0,0
27,MrFaliN,649,422,461,256,178.91,0.92,0.38,0.39,178.91,0.65,0.71,41,68,23.72,0.06,0.10,27.00,1.27,14,58,75,18,6,1,7,4,0,0,0
28,Muj,38,23,30,9,169.50,0.77,0.57,0.24,169.50,0.61,0.79,4,3,19.00,0.11,0.08,13.00,0.87,1,1,2,2,0,0,0,0,1,0,0
29,nAts,810,643,523,213,216.43,1.23,0.51,0.26,216.43,0.79,0.65,73,71,27.89,0.09,0.09,33.00,1.56,9,22,113,41,14,1,8,3,1,0,0
30,Newzera,160,71,104,44,124.75,0.68,0.32,0.28,124.75,0.44,0.65,6,13,39.00,0.04,0.08,20.00,0.86,3,9,10,2,0,0,0,1,0,0,0
31,Nivera,393,283,275,91,196.89,1.03,0.60,0.23,196.89,0.72,0.70,61,40,30.11,0.16,0.10,29.00,1.27,5,16,54,14,4,1,5,0,1,0,0
32,nukkye,563,411,379,181,217.92,1.08,0.51,0.32,217.92,0.73,0.67,48,46,22.24,0.09,0.08,30.00,1.44,16,27,64,28,7,2,6,2,1,0,0
33,qRaxs,649,444,472,262,186.38,0.94,0.48,0.40,186.38,0.68,0.73,44,48,29.50,0.07,0.07,24.00,1.32,14,48,75,27,4,0,3,1,1,1,0
34,QutionerX,468,399,350,84,231.64,1.14,0.57,0.18,231.64,0.85,0.75,90,69,25.45,0.19,0.15,28.00,1.39,5,5,68,25,7,0,3,3,0,0,0
35,qw1,649,544,440,84,219.09,1.24,0.55,0.13,219.09,0.84,0.68,129,104,24.34,0.20,0.16,30.00,1.45,13,10,104,29,12,0,9,2,1,0,0
36,Redgar,810,501,565,323,169.22,0.89,0.50,0.40,169.22,0.62,0.70,89,88,35.19,0.11,0.11,26.00,1.24,11,63,93,15,5,0,5,2,0,0,0
37,rhyme,563,323,412,202,162.00,0.78,0.36,0.36,162.00,0.57,0.73,32,56,32.08,0.06,0.10,22.00,1.04,6,86,63,11,2,0,4,2,0,0,0
38,Sayf,762,664,493,166,241.86,1.35,0.57,0.22,241.86,0.87,0.65,133,99,23.60,0.17,0.13,29.00,1.67,19,20,109,45,10,5,10,5,0,0,0
39,ScreaM,393,294,306,73,214.47,0.96,0.57,0.19,214.47,0.75,0.78,81,62,32.26,0.21,0.16,33.00,1.12,5,10,42,21,3,1,1,1,1,0,0
40,Shao,594,408,370,196,193.69,1.10,0.55,0.33,193.69,0.69,0.62,41,33,33.62,0.07,0.06,27.00,1.46,25,75,77,21,3,0,12,5,0,0,0
41,sheydos,472,354,318,123,192.77,1.11,0.52,0.26,192.77,0.75,0.67,25,23,28.91,0.05,0.05,36.00,1.41,12,23,66,21,3,0,4,5,1,0,0
42,Shin,393,229,280,101,164.79,0.82,0.42,0.26,164.79,0.58,0.71,21,29,30.79,0.05,0.07,20.00,1.00,13,61,45,13,2,0,4,1,1,0,0
43,SouhcNi,468,259,320,143,159.09,0.81,0.47,0.31,159.09,0.55,0.68,34,38,28.00,0.07,0.08,26.00,1.04,9,54,43,11,1,0,5,1,0,1,0
44,soulcas,810,487,526,322,163.89,0.93,0.48,0.40,163.89,0.60,0.65,47,51,34.03,0.06,0.06,23.00,1.30,16,65,81,23,4,0,4,2,1,0,0
45,starxo,472,304,364,180,177.41,0.84,0.45,0.38,177.41,0.64,0.77,42,51,21.73,0.09,0.11,36.00,1.13,7,37,58,13,4,0,4,0,1,0,0
46,SUYGETSU,594,436,387,131,194.85,1.13,0.59,0.22,194.85,0.73,0.65,47,32,31.54,0.08,0.05,32.00,1.39,10,22,73,18,5,3,5,2,1,0,0
47,trexx,472,363,336,170,220.14,1.08,0.46,0.36,220.14,0.77,0.71,50,58,16.64,0.11,0.12,33.00,1.47,11,23,74,14,5,1,3,2,1,0,0
48,Turko,468,281,313,179,159.82,0.90,0.47,0.38,159.82,0.60,0.67,24,27,30.18,0.05,0.06,23.00,1.25,12,32,42,17,2,0,7,1,1,0,0
49,Twisten,563,442,414,89,219.38,1.07,0.51,0.16,219.38,0.79,0.74,93,89,23.81,0.17,0.16,33.00,1.26,16,15,72,29,9,2,6,1,1,0,0
50,weber,169,95,119,60,155.29,0.80,0.44,0.36,155.29,0.56,0.70,7,9,38.43,0.04,0.05,24.00,1.07,3,17,16,4,1,0,1,2,1,0,0
51,Wolfen,472,321,365,84,187.55,0.88,0.46,0.18,187.55,0.68,0.77,68,80,25.55,0.14,0.17,25.00,0.99,7,7,55,17,6,0,1,2,0,0,0
52,xms,393,235,271,85,171.21,0.87,0.44,0.22,171.21,0.60,0.69,19,24,29.79,0.05,0.06,30.00,1.03,6,11,41,15,0,0,5,1,1,0,0
53,ZE1SH,233,104,173,73,128.73,0.60,0.31,0.31,128.73,0.45,0.74,11,25,27.73,0.05,0.11,16.00,0.72,4,17,19,3,0,0,2,1,0,0,0
54,zeek,277,186,215,68,196.14,0.87,0.49,0.25,196.14,0.67,0.78,28,29,26.64,0.10,0.10,24.00,1.04,7,20,31,13,4,0,6,1,1,0,0
55,Zyppan,594,422,414,242,197.88,1.02,0.52,0.41,197.88,0.71,0.70,48,44,32.54,0.08,0.07,25.00,1.43,22,69,72,22,7,0,5,2,0,0,0
