Number,Names,Rounds,Kills,Deaths,Assists,ACS,KD,FBSR%,APR,ADR,KPR,DPR,First Kills,First Deaths,HS%,FKPR,FDPR,Most Kills,Impact,Spike Defused,Spike Planted,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5
1,ANGE1,231,121,186,73,159.64,0.65,0.52,0.32,159.64,0.52,0.81,37,34,30.36,0.16,0.15,19.00,0.75,1,15,17,5,1,0,1,0,0,0,0
2,AsLanM4shadoW,74,44,58,14,181.33,0.76,0.25,0.19,181.33,0.59,0.78,4,12,24.33,0.05,0.16,25.00,0.81,2,5,8,2,1,0,1,1,0,0,0
3,AvovA,63,47,44,24,209.00,1.07,0.78,0.38,209.00,0.75,0.70,7,2,25.33,0.11,0.03,18.00,1.48,2,11,6,3,1,0,1,1,0,0,0
4,benjyfishy,63,43,48,13,174.67,0.90,0.20,0.21,174.67,0.68,0.76,2,8,34.33,0.03,0.13,20.00,1.05,3,1,10,1,0,0,0,0,0,0,0
5,Boo,63,24,45,10,115.33,0.53,0.27,0.16,115.33,0.38,0.71,3,8,36.00,0.05,0.13,13.00,0.49,1,7,1,1,0,0,0,0,0,0,0
6,Brave,74,41,52,26,170.00,0.79,0.18,0.35,170.00,0.55,0.70,2,9,28.67,0.03,0.12,14.00,1.05,0,3,8,2,0,0,0,0,0,0,0
7,Cloud,152,113,103,39,210.00,1.10,0.48,0.26,210.00,0.74,0.68,22,24,24.86,0.14,0.16,22.00,1.39,3,2,16,12,2,0,1,0,1,0,0
8,cNed,231,167,171,40,206.00,0.98,0.47,0.17,206.00,0.72,0.74,34,39,27.55,0.15,0.17,28.00,1.14,1,11,26,9,3,1,1,0,0,0,0
9,Fit1nho,152,136,94,56,246.14,1.45,0.58,0.37,246.14,0.89,0.62,22,16,33.14,0.14,0.11,24.00,1.92,5,17,30,10,1,0,0,2,0,0,0
10,hoody,152,116,93,65,222.71,1.25,0.70,0.43,222.71,0.76,0.61,16,7,24.86,0.11,0.05,23.00,1.73,8,8,22,11,0,0,1,0,0,0,0
11,keloqz,63,45,47,9,198.67,0.96,0.53,0.14,198.67,0.71,0.75,8,7,26.33,0.13,0.11,18.00,1.08,0,2,10,2,0,0,0,1,0,0,0
12,Koldamenta,213,89,135,98,121.30,0.66,0.32,0.46,121.30,0.42,0.63,10,21,19.90,0.05,0.10,16.00,1.03,6,12,12,5,0,0,2,2,1,0,0
13,mixwell,63,35,50,15,166.33,0.70,0.39,0.24,166.33,0.56,0.79,7,11,22.33,0.11,0.17,15.00,0.76,0,2,2,2,1,0,0,1,0,0,0
14,Nivera,175,132,118,38,206.63,1.12,0.51,0.22,206.63,0.75,0.67,18,17,30.63,0.10,0.10,26.00,1.38,5,10,23,10,1,0,3,1,0,0,0
15,nukkye,152,119,89,53,200.14,1.34,0.63,0.35,200.14,0.78,0.59,10,6,24.14,0.07,0.04,22.00,1.74,8,12,28,2,3,0,3,3,0,0,0
16,QutionerX,74,61,53,9,228.00,1.15,0.38,0.12,228.00,0.82,0.72,8,13,26.00,0.11,0.18,21.00,1.34,3,1,9,4,2,0,1,0,0,0,0
17,rhyme,152,101,107,54,187.00,0.94,0.55,0.36,187.00,0.66,0.70,16,13,25.14,0.11,0.09,20.00,1.28,2,22,15,5,1,0,2,0,0,0,0
18,ScreaM,175,161,137,44,272.63,1.18,0.62,0.25,272.63,0.92,0.78,47,29,28.13,0.27,0.17,31.00,1.53,2,3,27,14,2,0,0,0,0,0,0
19,Shao,231,164,142,75,193.82,1.15,0.53,0.32,193.82,0.71,0.61,8,7,38.36,0.03,0.03,19.00,1.52,4,22,33,10,0,0,5,5,0,0,0
20,sheydos,213,129,128,54,164.40,1.01,0.52,0.25,164.40,0.61,0.60,11,10,26.00,0.05,0.05,23.00,1.26,5,16,24,7,0,0,5,2,1,0,0
21,Shin,175,103,116,79,167.88,0.89,0.55,0.45,167.88,0.59,0.66,12,10,32.88,0.07,0.06,20.00,1.30,2,18,22,5,0,0,1,1,1,0,0
22,SouhcNi,74,39,53,17,168.00,0.74,0.47,0.23,168.00,0.53,0.72,9,10,23.33,0.12,0.14,20.00,0.85,0,11,7,0,1,0,0,1,0,0,0
23,starxo,213,152,136,83,192.60,1.12,0.35,0.39,192.60,0.71,0.64,8,15,23.20,0.04,0.07,18.00,1.54,7,24,26,10,0,0,3,1,0,0,0
24,SUYGETSU,231,167,152,42,195.91,1.10,0.53,0.18,195.91,0.72,0.66,16,14,36.91,0.07,0.06,22.00,1.31,7,12,32,8,1,1,3,0,0,0,0
25,trexx,213,170,151,67,244.20,1.13,0.52,0.31,244.20,0.80,0.71,27,25,18.40,0.13,0.12,21.00,1.49,4,8,37,10,2,0,2,2,0,0,0
26,Turko,74,49,45,23,188.33,1.09,0.44,0.31,188.33,0.66,0.61,4,5,34.00,0.05,0.07,21.00,1.42,4,10,6,2,1,1,0,0,0,1,0
27,Wolfen,213,185,164,35,248.70,1.13,0.54,0.16,248.70,0.87,0.77,47,40,26.40,0.22,0.19,25.00,1.36,3,4,25,15,3,0,1,0,0,0,0
28,xms,175,106,116,53,158.00,0.91,0.52,0.30,158.00,0.61,0.66,13,12,33.88,0.07,0.07,21.00,1.19,9,20,19,5,0,0,2,1,0,0,0
29,ZE1SH,175,88,117,49,141.13,0.75,0.41,0.28,141.13,0.50,0.67,7,10,27.25,0.04,0.06,21.00,0.95,7,8,16,3,1,0,1,2,0,0,0
30,Zyppan,231,171,169,76,207.73,1.01,0.45,0.33,207.73,0.74,0.73,19,23,30.00,0.08,0.10,29.00,1.35,3,27,34,12,1,0,2,1,0,0,0
