Number,Names,Rounds,Kills,Deaths,Assists,ACS,KD,FBSR%,APR,ADR,KPR,DPR,First Kills,First Deaths,HS%,FKPR,FDPR,Most Kills,Impact,Spike Defused,Spike Planted,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5
1,Alfajer,210,184,113,34,229.20,1.63,0.66,0.16,229.20,0.88,0.54,23,12,29.20,0.11,0.06,25.00,1.84,6,7,30,18,0,0,4,1,1,0,0
2,ANGE1,124,65,93,47,163.20,0.70,0.58,0.38,163.20,0.52,0.75,15,11,31.00,0.12,0.09,17.00,0.93,3,5,7,1,0,0,1,0,0,0,0
3,ardiis,351,255,239,76,211.06,1.07,0.50,0.22,211.06,0.73,0.68,57,57,20.00,0.16,0.16,23.00,1.31,7,3,49,12,6,0,2,3,0,0,0
4,aspas,80,66,65,15,252.00,1.02,0.52,0.19,252.00,0.83,0.81,17,16,27.00,0.21,0.20,20.00,1.21,0,1,14,4,1,0,0,0,0,0,0
5,AtaKaptan,162,104,112,75,182.25,0.93,0.48,0.46,182.25,0.64,0.69,12,13,27.63,0.07,0.08,22.00,1.36,5,22,22,6,1,1,0,1,1,0,0
6,ban,173,110,131,44,181.75,0.84,0.35,0.25,181.75,0.64,0.76,11,20,26.13,0.06,0.12,22.00,1.01,7,20,21,7,1,0,2,1,0,0,0
7,Boaster,210,116,127,110,171.30,0.91,0.53,0.52,171.30,0.55,0.60,16,14,14.60,0.08,0.07,15.00,1.42,8,20,21,5,0,0,0,1,0,0,0
8,Boostio,401,310,289,80,220.63,1.07,0.58,0.20,220.63,0.77,0.72,59,43,21.42,0.15,0.11,35.00,1.30,11,6,60,20,5,1,2,2,1,0,0
9,bunt,101,66,84,40,179.80,0.79,0.31,0.40,179.80,0.65,0.83,4,9,26.40,0.04,0.09,20.00,1.04,1,12,6,7,1,0,0,0,0,0,0
10,BuZz,231,169,167,40,220.18,1.01,0.49,0.17,220.18,0.73,0.72,34,35,19.09,0.15,0.15,19.00,1.19,1,3,23,11,4,0,1,1,0,1,0
11,C0M,401,252,255,147,183.63,0.99,0.49,0.37,183.63,0.63,0.64,26,27,22.21,0.06,0.07,19.00,1.35,11,30,51,11,1,0,6,2,1,0,0
12,Carpe,173,105,129,83,176.63,0.81,0.42,0.48,176.63,0.61,0.75,8,11,28.00,0.05,0.06,22.00,1.20,4,7,20,4,1,0,1,0,0,0,0
13,cauanzin,80,48,67,21,170.25,0.72,0.54,0.26,170.25,0.60,0.84,7,6,27.00,0.09,0.08,15.00,0.79,0,10,7,1,2,0,1,1,0,0,0
14,cgrs,333,173,237,105,150.00,0.73,0.35,0.32,150.00,0.52,0.71,15,28,20.67,0.05,0.08,23.00,0.93,5,65,24,7,2,0,5,1,0,0,0
15,CHICHOO,341,232,213,84,191.67,1.09,0.54,0.25,191.67,0.68,0.62,22,19,26.00,0.06,0.06,27.00,1.36,4,18,40,10,2,0,8,1,1,0,0
16,Chronicle,210,174,131,91,236.80,1.33,0.44,0.43,236.80,0.83,0.62,15,19,25.30,0.07,0.09,22.00,1.84,5,21,31,8,2,0,0,0,0,0,0
17,cNed,124,106,103,27,247.60,1.03,0.61,0.22,247.60,0.85,0.83,27,17,24.60,0.22,0.14,27.00,1.27,0,6,18,5,2,0,0,0,0,0,0
18,crashies,351,212,229,139,166.81,0.93,0.36,0.40,166.81,0.60,0.65,18,32,31.13,0.05,0.09,19.00,1.30,9,38,40,11,1,0,3,2,0,0,0
19,d4v41,333,222,223,134,188.33,1.00,0.62,0.40,188.33,0.67,0.67,26,16,28.07,0.08,0.05,23.00,1.40,11,16,40,6,1,0,4,1,1,0,0
20,Demon1,401,318,267,69,210.89,1.19,0.59,0.17,210.89,0.79,0.67,56,39,39.11,0.14,0.10,28.00,1.43,8,7,63,15,6,0,8,1,1,0,0
21,Derke,210,173,147,42,247.30,1.18,0.52,0.20,247.30,0.82,0.70,51,47,21.60,0.24,0.22,28.00,1.45,5,9,32,14,4,0,1,1,1,0,0
22,Ethan,401,262,246,231,190.37,1.07,0.47,0.58,190.37,0.65,0.61,20,23,18.95,0.05,0.06,20.00,1.66,10,68,53,10,3,0,7,3,0,0,0
23,f0rsakeN,333,243,259,86,215.07,0.94,0.52,0.26,215.07,0.73,0.78,55,51,25.93,0.17,0.15,24.00,1.16,2,10,42,10,6,2,1,0,0,0,0
24,FNS,351,213,240,116,173.88,0.89,0.50,0.33,173.88,0.61,0.68,29,29,20.56,0.08,0.08,21.00,1.18,8,13,28,15,1,0,2,1,0,0,0
25,Foxy9,83,57,67,18,215.75,0.85,0.41,0.22,215.75,0.69,0.81,16,23,20.75,0.19,0.28,16.00,0.98,1,2,10,2,2,0,1,0,0,0,0
26,Haodong,341,228,232,124,187.40,0.98,0.48,0.36,187.40,0.67,0.68,30,32,26.33,0.09,0.09,24.00,1.34,8,38,48,12,2,0,4,1,1,0,0
27,Jamppi,169,106,121,58,177.63,0.88,0.32,0.34,177.63,0.63,0.72,9,19,24.50,0.05,0.11,18.00,1.17,3,17,27,4,0,0,2,1,0,0,0
28,jawgemo,401,290,279,121,211.74,1.04,0.48,0.30,211.74,0.72,0.70,52,56,20.11,0.13,0.14,22.00,1.36,10,29,53,22,3,0,2,2,1,1,0
29,Jinggg,333,285,262,78,253.47,1.09,0.49,0.23,253.47,0.86,0.79,47,49,18.00,0.14,0.15,28.00,1.37,3,6,47,25,6,0,1,0,0,0,0
30,Leo,210,150,102,94,200.90,1.47,0.85,0.45,200.90,0.71,0.49,11,2,17.00,0.05,0.01,26.00,1.90,9,28,28,12,1,0,4,0,0,0,0
31,Less,80,57,64,16,199.50,0.89,0.25,0.20,199.50,0.71,0.80,3,9,23.25,0.04,0.11,26.00,1.03,2,2,5,4,2,0,1,1,0,0,0
32,Life,101,79,82,15,221.00,0.96,0.64,0.15,221.00,0.78,0.81,23,13,23.80,0.23,0.13,22.00,1.09,4,0,15,3,0,0,0,0,0,0,0
33,MaKo,231,152,156,122,195.45,0.97,0.43,0.53,195.45,0.66,0.68,16,21,28.36,0.07,0.09,24.00,1.49,3,10,29,8,2,0,0,1,0,0,0
34,mindfreak,333,211,228,115,174.60,0.93,0.42,0.35,174.60,0.63,0.68,20,28,25.00,0.06,0.08,23.00,1.24,5,13,32,13,2,0,5,1,0,0,0
35,mojj,162,110,112,31,184.75,0.98,0.45,0.19,184.75,0.68,0.69,9,11,23.63,0.06,0.07,20.00,1.17,2,1,16,7,1,0,2,1,0,0,0
36,Monk,101,71,78,32,216.60,0.91,0.64,0.32,216.60,0.70,0.77,9,5,20.20,0.09,0.05,21.00,1.18,2,1,7,8,0,0,1,2,0,0,0
37,MrFaliN,162,97,113,63,174.38,0.86,0.56,0.39,174.38,0.60,0.70,15,12,22.25,0.09,0.07,18.00,1.19,8,17,16,6,2,0,2,0,2,0,0
38,Munchkin,173,119,122,34,209.75,0.98,0.46,0.20,209.75,0.69,0.71,21,25,23.38,0.12,0.14,20.00,1.16,7,3,25,5,1,1,2,0,0,0,0
39,nAts,169,130,120,26,213.75,1.08,0.74,0.15,213.75,0.77,0.71,17,6,29.88,0.10,0.04,26.00,1.27,4,1,22,7,1,0,0,1,0,0,0
40,nobody,341,233,242,112,191.93,0.96,0.37,0.33,191.93,0.68,0.71,19,33,28.20,0.06,0.10,22.00,1.28,4,43,42,15,3,0,4,2,1,0,0
