Numbers,Names,Rounds,Kills,Deaths,Assists,ACS,KD,FBSR%,APR,ADR,KPR,DPR,First Kills,First Deaths,HS%,FKPR,FDPR,Most Kills,Impact,Spike Defused,Spike Planted,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5
1,2ge,308,187,205,123,168.00,0.91,0.31,0.40,168.00,0.61,0.67,10,22,27.87,0.03,0.07,17.00,1.28,7,49,31,13,0,0,4,1,0,0,0
2,Anthem,408,255,295,140,187.10,0.86,0.41,0.34,187.10,0.63,0.72,26,38,26.00,0.06,0.09,22.00,1.15,9,26,40,9,4,1,4,4,1,0,0
3,AYRIN,458,265,314,131,169.48,0.84,0.41,0.29,169.48,0.58,0.69,28,40,19.81,0.06,0.09,18.00,1.07,14,39,45,16,0,0,4,2,1,0,0
4,ban,668,441,469,197,183.74,0.94,0.57,0.29,183.74,0.66,0.70,82,62,25.00,0.12,0.09,24.00,1.21,11,24,71,29,4,1,5,4,0,0,0
5,Bazzi,458,291,306,224,190.95,0.95,0.58,0.49,190.95,0.64,0.67,23,17,18.05,0.05,0.04,25.00,1.42,12,55,52,14,4,0,6,2,2,0,0
6,Benkai,150,109,101,43,210.71,1.08,0.54,0.29,210.71,0.73,0.67,13,11,20.86,0.09,0.07,21.00,1.39,5,12,19,8,0,0,1,2,0,0,0
7,BORKUM,633,400,432,294,174.24,0.93,0.42,0.46,174.24,0.63,0.68,36,49,18.00,0.06,0.08,24.00,1.36,15,39,69,22,0,0,4,6,1,0,0
8,BuZz,695,547,472,185,224.61,1.16,0.48,0.27,224.61,0.79,0.68,78,85,23.61,0.11,0.12,36.00,1.48,9,20,95,28,12,2,7,6,1,0,0
9,Carpe,763,462,526,342,175.58,0.88,0.48,0.45,175.58,0.61,0.69,48,53,24.56,0.06,0.07,27.00,1.28,35,58,65,26,4,0,7,2,1,0,0
10,cgrs,20,13,14,2,176.00,0.93,0.40,0.10,176.00,0.65,0.70,2,3,30.00,0.10,0.15,13.00,1.00,0,2,3,0,0,0,0,0,0,0,0
