Number,Names,Rounds,Kills,Deaths,Assists,ACS,KD,FBSR%,APR,ADR,KPR,DPR,First Kills,First Deaths,HS%,FKPR,FDPR,Most Kills,Impact,Spike Defused,Spike Planted,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5
1,2ge,132,97,79,79,196.33,1.23,0.50,0.60,196.33,0.73,0.60,5,5,28.50,0.038,0.038,30,1.87,2,16,15,6,2,0,2,2,1,0,0
2,Anthem,41,37,29,10,246.00,1.28,0.29,0.24,246.00,0.90,0.71,2,5,35.50,0.049,0.122,22,1.63,1,2,4,3,2,0,0,2,1,0,0
3,AYRIN,46,25,33,14,156.00,0.76,0.50,0.30,156.00,0.54,0.72,2,2,18.00,0.043,0.043,14,0.96,0,6,2,2,0,0,1,0,0,0,0
4,Bazzi,46,36,36,16,238.00,1.00,0.73,0.35,238.00,0.78,0.78,8,3,14.00,0.174,0.065,20,1.35,0,2,6,2,0,0,0,0,0,0,0
5,BORKUM,250,152,159,123,169.83,0.96,0.59,0.49,169.83,0.61,0.64,17,12,21.00,0.068,0.048,20,1.44,5,14,32,4,0,0,6,1,0,0,0
6,crow,205,131,129,105,187.56,1.02,0.65,0.51,187.56,0.64,0.63,17,9,30.56,0.083,0.044,23,1.53,4,55,24,6,1,0,1,2,0,0,0
7,Crws,116,65,72,46,157.00,0.90,0.47,0.40,157.00,0.56,0.62,8,9,29.00,0.069,0.078,18,1.28,2,17,15,1,0,0,2,1,0,0,0
8,Dep,205,163,146,40,214.67,1.12,0.53,0.20,214.67,0.80,0.71,25,22,30.67,0.122,0.107,42,1.36,3,11,38,4,2,0,1,2,0,0,0
9,DubsteP,250,186,179,38,213.33,1.04,0.49,0.15,213.33,0.74,0.72,45,46,27.33,0.180,0.184,21,1.21,3,6,38,10,2,0,4,0,0,0,0
10,EJAY,176,137,126,27,208.13,1.09,0.44,0.15,208.13,0.78,0.72,25,32,20.75,0.142,0.182,35,1.28,4,3,27,8,4,0,2,0,0,0,0
11,Emman,44,29,39,8,202.50,0.74,0.38,0.18,202.50,0.66,0.89,5,8,27.00,0.114,0.182,20,0.73,2,1,6,1,0,0,0,0,0,0,0
12,fl1pzjder,176,99,129,91,179.25,0.77,0.29,0.52,179.25,0.56,0.73,10,24,27.13,0.057,0.136,20,1.18,6,19,25,3,0,0,3,3,0,0,0
13,foxz,116,77,78,53,191.80,0.99,0.63,0.46,191.80,0.66,0.67,5,3,30.20,0.043,0.026,19,1.44,4,3,11,4,1,0,1,2,1,1,0
14,garnetS,116,105,82,15,264.60,1.28,0.67,0.13,264.60,0.91,0.71,29,14,29.40,0.250,0.121,30,1.53,0,2,17,12,2,0,1,0,0,0,0
15,GodDead,250,112,170,129,139.50,0.66,0.33,0.52,139.50,0.45,0.68,13,27,18.33,0.052,0.108,14,1.05,4,34,21,3,1,0,3,0,0,0,0
16,invy,250,207,162,111,227.00,1.28,0.65,0.44,227.00,0.83,0.65,17,9,37.75,0.068,0.036,30,1.80,7,41,40,18,1,0,3,1,0,0,0
17,JessieVash,250,143,177,74,170.58,0.81,0.43,0.30,170.58,0.57,0.71,18,24,23.92,0.072,0.096,20,1.02,6,18,30,10,0,0,3,0,0,0,0
18,JitboyS,116,79,74,22,188.80,1.07,0.33,0.19,188.80,0.68,0.64,6,12,32.00,0.052,0.103,19,1.28,1,5,19,2,1,0,1,0,0,0,0
19,JRemY,250,171,177,61,203.42,0.97,0.52,0.24,203.42,0.68,0.71,32,30,21.75,0.128,0.120,23,1.20,4,6,33,5,3,1,1,0,0,0,0
20,k1Ng,250,179,182,45,197.75,0.98,0.48,0.18,197.75,0.72,0.73,21,23,22.50,0.084,0.092,25,1.16,3,1,30,11,2,0,2,1,0,0,0
21,Laz,205,159,129,40,220.67,1.23,0.58,0.20,220.67,0.78,0.63,25,18,27.89,0.122,0.088,26,1.49,4,2,23,15,0,0,4,0,1,0,0
22,Lmemore,176,132,131,29,206.38,1.01,0.38,0.16,206.38,0.75,0.74,14,23,31.50,0.080,0.131,35,1.18,3,5,27,6,1,1,2,1,0,0,0
23,Meteor,250,212,183,41,246.50,1.16,0.60,0.16,246.50,0.85,0.73,55,37,29.25,0.220,0.148,27,1.40,6,2,35,14,6,0,4,1,0,0,0
24,Monyet,46,38,30,23,245.00,1.27,0.62,0.50,245.00,0.83,0.65,8,5,27.00,0.174,0.109,20,1.85,0,4,6,3,1,0,0,0,0,0,0
25,Patiphan,116,90,82,44,218.80,1.10,0.47,0.38,218.80,0.78,0.71,14,16,29.00,0.121,0.138,23,1.52,2,16,17,6,2,0,0,0,0,0,0
26,Reita,41,32,30,3,224.00,1.07,0.57,0.07,224.00,0.78,0.73,4,3,18.50,0.098,0.073,20,1.17,0,1,5,4,0,0,0,0,0,0,0
27,Seoldam,21,9,17,5,142.00,0.53,0.43,0.24,142.00,0.43,0.81,3,4,22.00,0.143,0.190,9,0.48,0,0,1,0,0,0,0,0,0,0,0
28,SkRossi,46,24,36,5,140.00,0.67,0.38,0.11,140.00,0.52,0.78,3,5,29.50,0.065,0.109,12,0.59,0,2,5,0,0,0,0,1,0,0,0
29,SugarZ3ro,205,139,130,106,175.33,1.07,0.41,0.52,175.33,0.68,0.63,9,13,22.22,0.044,0.063,34,1.60,4,6,30,5,0,0,0,0,1,0,0
30,Suggest,41,19,30,19,145.00,0.63,0.38,0.46,145.00,0.46,0.73,3,5,34.50,0.073,0.122,10,0.93,1,6,2,1,0,0,0,0,0,0,0
31,Sylvan,250,158,185,119,183.67,0.85,0.48,0.48,183.67,0.63,0.74,19,21,28.67,0.076,0.084,24,1.26,5,6,26,12,0,0,4,0,0,0,0
32,T3xture,46,40,32,6,229.00,1.25,0.70,0.13,229.00,0.87,0.70,7,3,34.00,0.152,0.065,23,1.48,3,3,5,5,0,0,0,0,0,0,0
33,takej,41,24,32,13,168.00,0.75,0.57,0.32,168.00,0.59,0.78,4,3,52.00,0.098,0.073,13,0.93,1,0,4,0,1,0,0,0,1,0,0
34,Tehbotol,176,128,122,61,218.13,1.05,0.62,0.35,218.13,0.73,0.69,16,10,22.13,0.091,0.057,26,1.41,3,17,25,7,1,1,1,0,1,0,0
35,ten,205,160,147,37,226.33,1.09,0.50,0.18,226.33,0.78,0.72,34,34,23.22,0.166,0.166,31,1.31,6,5,26,9,3,0,1,1,0,0,0
36,TS,250,162,176,87,181.33,0.92,0.38,0.35,181.33,0.65,0.70,13,21,20.08,0.052,0.084,24,1.24,6,28,35,3,1,0,1,2,0,0,0
37,xnfri,20,6,16,3,111.00,0.38,0.20,0.15,111.00,0.30,0.80,1,4,17.00,0.050,0.200,6,0.15,0,0,1,0,0,0,0,0,0,0,0
